rank,nome,nota media
709,Railroad Ink: Blazing Red Edition,7.17
710,XCOM: The Board Game,7.04
711,Aquatica,7.42
712,Outlive,7.35
713,One Deck Dungeon,7.02
714,Marvel Dice Masters: Avengers vs. X-Men,7.14
715,Reef Encounter,7.14
716,Crystal Palace,7.60
717,"Heroes of Land, Air & Sea",7.67
718,Fugitive,7.21
719,Honey Buzz,7.84
720,Project L,7.58
721,Napoleon's Triumph,7.98
722,Not Alone,7.01
723,ZÈRTZ,7.28
724,Spyfall,6.85
725,Ricochet Robots,7.01
726,Scoville,7.15
727,Red7,6.90
728,Perudo,6.90
729,Tajemnicze Domostwo,7.15
730,Crown of Emara,7.46
731,Bus,7.54
732,Ticket to Ride: Rails & Sails,7.43
733,Friedrich,7.56
734,Merv: The Heart of the Silk Road,7.70
735,Tang Garden,7.53
736,Star Wars: The Card Game,7.18
737,Disney Villainous: Evil Comes Prepared,7.65
738,Q.E.,7.45
739,Gentes,7.46
740,Tinners' Trail,7.25
741,Union Pacific,7.21
742,Spyrium,7.06
743,Warhammer Underworlds: Shadespire,7.71
744,Carcassonne: The City,7.21
745,Dice Throne: Season One ReRolled,8.45
746,Celestia,6.97
747,Empire of the Sun,8.24
748,Hyperborea,7.20
749,Brew Crafters,7.43
750,Imperium: Classics,7.83
751,Ca$h 'n Guns (Second Edition),6.88
752,Pandemic: Rising Tide,7.60
753,Can't Stop,6.86
754,Summoner Wars: Phoenix Elves vs Tundra Orcs,7.52
755,Virgin Queen,8.05
756,Yellow & Yangtze,7.88
757,Thunderstone,6.93
758,Dale of Merchants,7.20
759,Diamant,6.82
760,Tammany Hall,7.27
761,Tumblin-Dice,7.20
762,Legendary: A Marvel Deck Building Game – Villains,7.58
763,Signorie,7.42
764,Catacombs (Third Edition),7.55
765,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),7.95
766,Santiago,7.11
767,Unfair,7.34
768,Akrotiri,7.23
769,The Palaces of Carrara,7.16
770,San Marco,7.17
771,Dice Hospital,7.19
772,Undaunted: North Africa,7.93
773,Homesteaders,7.21
774,The Bloody Inn,7.01
775,Last Night on Earth: The Zombie Game,6.93
776,Morels,6.99
777,Forbidden Island,6.78
778,Container,7.15
779,Bridge,7.46
780,Rhino Hero,6.94
781,Roll Through the Ages: The Bronze Age,6.87
782,Genoa,7.06
783,Pictomania,7.28
784,Maharaja: The Game of Palace Building in India,7.11
785,Summoner Wars: Guild Dwarves vs Cave Goblins,7.57
786,Kitchen Rush,7.33
787,Smash Up: Science Fiction Double Feature,7.28
788,Menara,7.46
789,Wizard,6.94
790,The Magnificent,7.61
791,Descent: Legends of the Dark,7.99
792,Hannibal & Hamilcar,8.35
793,Louis XIV,7.06
794,Age of Industry,7.37
795,Heroscape Master Set: Swarm of the Marro,7.63
796,Tragedy Looper,7.20
797,Core Worlds,7.17
798,The Shipwreck Arcana,7.48
799,Trails of Tucana,7.46
800,The Others,7.37
801,Sub Terra,7.38
802,Thunder Alley,7.32
803,Web of Power,7.30
804,Dungeons & Dragons: Wrath of Ashardalon Board Game,7.12
805,The Lost Expedition,7.07
806,Palm Island,7.18
807,Adrenaline,7.04
808,Wasteland Express Delivery Service,7.39
809,Lanterns: The Harvest Festival,6.90
810,Cerebria: The Inside World,7.82
811,Britannia,7.20
812,Chronicles of Crime: 1400,7.90
813,Battle for Rokugan,7.46
814,Ascension: Storm of Souls,7.29
815,Hawaii,7.14
816,Qwixx,6.87
817,Unlock!: Timeless Adventures,7.90
818,Mahjong,7.03
819,Legacy: The Testament of Duke de Crecy,7.16
820,The Castles of Burgundy: The Card Game,7.00
821,Dream Factory,7.05
822,Jaws,7.23
823,Tiny Epic Quest,7.02
824,Attika,6.99
825,The City of Kings,7.68
826,New York Zoo,7.25
827,Zooloretto,6.82
828,Dungeons & Dragons: Castle Ravenloft Board Game,6.98
829,Concept,6.80
830,Letter Jam,7.27
831,Detective: City of Angels,7.97
832,Fabled Fruit,7.02
833,Snow Tails,6.97
834,5-Minute Dungeon,7.00
835,Flick 'em Up!,6.91
836,Meeple Circus,7.10
837,Parade,6.97
838,Werewords,7.15
839,Call to Adventure,7.18
840,Blue Lagoon,7.19
841,DC Comics Deck-Building Game,7.04
842,SpaceCorp: 2025-2300AD,7.69
843,Ascension: Return of the Fallen,7.29
844,La Città,7.03
845,The Grimm Forest,7.12
846,Legendary Encounters: A Predator Deck Building Game,7.46
847,Qwirkle,6.78
848,Last Bastion,7.60
849,Gold West,7.34
850,Discoveries: The Journals of Lewis & Clark,7.06
851,Antike,7.08
852,Lowlands,7.44
853,Istanbul: The Dice Game,7.18
854,Tak,7.61
855,Raccoon Tycoon,7.38
856,DinoGenics,7.70
857,Marvel Dice Masters: Uncanny X-Men,7.19
858,Polis: Fight for the Hegemony,7.56
859,Lovecraft Letter,7.24
860,Star Wars: The Queen's Gambit,7.56
861,Project: ELITE,8.10
862,The Speicherstadt,7.03
863,Red Rising,7.21
864,Automobiles,7.26
865,Luxor,7.20
866,History of the World,7.12
867,Zombicide: Invader,7.89
868,Mr. Jack Pocket,6.88
869,Zombicide Season 3: Rue Morgue,7.55
870,Smash Up: Pretty Pretty Smash Up,7.26
871,Star Trek: Frontiers,7.88
872,Railroad Revolution,7.36
873,Space Hulk (Fourth Edition),7.96
874,Merchant of Venus (Second Edition),7.16
875,Whistle Mountain,7.78
876,Coffee Roaster,7.48
877,Mint Works,6.99
878,World's Fair 1893,7.19
879,Manila,6.98
880,CO₂,7.14
881,Cottage Garden,6.89
882,Valley of the Kings,7.04
883,Condottiere,6.85
884,Black Fleet,7.01
885,Kingsburg (Second Edition),7.46
886,Majesty: For the Realm,6.97
887,Thunderstone: Dragonspire,7.34
888,Rivals for Catan,6.96
889,Fields of Green,7.16
890,Wiz-War (Eighth Edition),7.06
891,"Warhammer 40,000: Conquest",7.36
892,BattleCON: War of Indines,7.72
893,Firenze,7.25
894,Smash Up: Monster Smash,7.29
895,Islebound,7.18
896,Winner's Circle,6.98
897,Rex: Final Days of an Empire,7.08
898,Herbaceous,7.09
899,Etherfields,8.06
900,Riverboat,7.48
901,Santa Monica,7.38
902,Nations: The Dice Game,6.96
903,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",7.65
904,Ticket to Ride: New York,6.99
905,A Distant Plain,7.86
906,Circadians: First Light,7.68
907,A Study in Emerald,7.19
908,Tide of Iron,7.20
909,Roam,7.41
910,Container: 10th Anniversary Jumbo Edition!,7.69
911,Bloodborne: The Board Game,7.99
912,"Hey, That's My Fish!",6.70
913,Empires of the Void II,7.51
914,When I Dream,7.04
915,Netrunner,7.45
916,Great Western Trail (Second Edition),8.60
917,NMBR 9,6.90
918,ICECOOL,6.81
919,Cat Lady,7.07
920,Vinci,7.08
921,Tales & Games: The Hare & the Tortoise,7.09
922,The Big Book of Madness,6.94
923,Stronghold,7.15
924,Falling Sky: The Gallic Revolt Against Caesar,7.88
925,Zendo,7.25
926,Loony Quest,6.92
927,Wilderness War,7.71
928,Via Nebula,7.04
929,Wildlands,7.29
930,Caylus 1303,7.58
931,Fauna,7.03
932,Dice Town,6.86
933,Paris: La Cité de la Lumière,7.40
934,Mr. Jack in New York,7.21
935,Shikoku 1889,7.99
936,Batman: Gotham City Chronicles,7.70
937,Metropolys,7.02
938,Terror in Meeple City,6.85
939,The Lord of the Rings,6.74
940,Disney Villainous: Perfectly Wretched,7.82
941,Axis & Allies Anniversary Edition,7.44
942,Radlands,8.40
943,Paper Tales,7.06
944,Rurik: Dawn of Kiev,7.83
945,Shadowrun: Crossfire,7.15
946,Reavers of Midgard,7.46
947,Smash Up,6.73
948,IKI,7.74
949,Quartermaster General,7.35
950,China,6.98
951,Irish Gauge,7.33
952,Detective Club,7.41
953,Linko!,6.99
954,Ikusa,7.02
955,Dream Home,6.90
956,Quarriors!,6.75
957,Runebound: Second Edition,6.88
958,Battles of Westeros,7.26
959,Battle Cry,7.15
960,Two Rooms and a Boom,6.99
961,Massive Darkness,7.20
962,Ambush!,7.47
963,Eight-Minute Empire: Legends,6.96
964,Hardback,7.24
965,Archaeology: The New Expedition,7.15
966,Diamonds: Second Edition,6.92
967,Ohanami,7.37
968,Splendor: Marvel,7.70
969,Clinic: Deluxe Edition,7.73
970,Witness,7.28
971,Ghost Fightin' Treasure Hunters,7.15
972,No Retreat! The Russian Front,7.79
973,Yggdrasil,7.04
974,Era: Medieval Age,7.26
975,Ecos: First Continent,7.19
976,Warhammer Quest,7.48
977,Domaine,6.99
978,Coconuts,7.04
979,Sons of Anarchy: Men of Mayhem,7.28
980,1812: The Invasion of Canada,7.33
981,Honshū,6.96
